sample_index,mse,mae,max_absolute_error,relative_error
144,8.155014490352903e-05,0.00484958530293131,0.06391058628554536,0.009030511884911533
145,4.340555473813071e-05,0.0038165798723396,0.057838583355940054,0.0065882892117855845
146,6.056952151459554e-05,0.0045963228317709515,0.06729336234437044,0.007782642322154786
147,6.68698648811465e-05,0.0054367186913563135,0.055669942394705685,0.008177399640542583
148,6.702151066285184e-05,0.004988787586867545,0.06479231265397889,0.008186666639289247
149,4.761233742669629e-05,0.0034401240592004303,0.06786745806622108,0.006900169376667211
150,3.8648592969411596e-05,0.0036560535274728343,0.044584154184452274,0.0062167992543921795
151,6.512049755484619e-05,0.004825604719653195,0.05208448438082558,0.008069727229271486
152,5.261528078247637e-05,0.0045362378265631454,0.058024674945927335,0.007253639140629757
153,8.507212465936947e-06,0.0016863239010745476,0.034022023032557455,0.004124854534631945
154,4.6961607992056196e-05,0.004508185037690843,0.0581429760731047,0.00685285400341024
155,6.617443917703993e-05,0.005060091199604881,0.054805867809048614,0.008134767309335869
156,4.681304436168441e-05,0.004461238776251408,0.053889743726641015,0.006842005872672445
157,4.537393477456366e-05,0.003962035854851046,0.05563980738939245,0.006736017723741769
158,5.546551464165396e-05,0.004505485618406205,0.06118141210923089,0.007447517347522819
159,5.87132779556528e-05,0.004968553467992243,0.046166535899008654,0.00766245900189047
160,6.160099333616006e-05,0.0041055257048859374,0.06367991588670563,0.007848630029257323
161,5.996339442231439e-05,0.004552800341312515,0.055365643231850115,0.007743603452031478
162,5.932435677953028e-05,0.00526277146102873,0.057853979493400765,0.007702230636609748
163,3.783178951213103e-05,0.003660812221996714,0.06824107395210027,0.0061507551985208134
164,4.904684501890788e-05,0.004321359582592272,0.05715373587622352,0.007003345273432384
165,6.42093146305315e-05,0.0046791796548786985,0.05586701983838083,0.008013071485424971
166,4.8191683688256264e-05,0.004868061149154591,0.05912861106146927,0.006942023025621255
167,5.5662501597872745e-05,0.004999406591621821,0.07973228317859116,0.00746073063431943
168,4.86990988543109e-05,0.004091195793269954,0.04494544224345676,0.006978473963146271
169,6.259271234880806e-05,0.005254160653885075,0.06470688991369844,0.007911555621292655
170,2.2569449808276855e-05,0.0032947091877418623,0.03790272751042156,0.0047507315024400846
171,7.501099811670057e-05,0.005049332509574668,0.0640066956468921,0.008660888991131346
172,7.253279520091178e-05,0.005423308075753233,0.051256120910410985,0.00851661876573743
173,8.614828437478972e-05,0.006202029092180039,0.06085047585026082,0.009281610009841451
174,6.490438033572564e-05,0.004945004408870913,0.07196576885853023,0.008056325485959788
175,4.6328415798064986e-05,0.003981872197113979,0.06115288977507882,0.006806498056861882
176,4.9480794901951595e-05,0.004033340034785393,0.058151475943319486,0.007034258660438288
177,5.555195444335042e-05,0.00514848216690874,0.059796426531096625,0.007453318351133932
178,7.03118378600075e-05,0.003985282115083552,0.06672291818908083,0.00838521543313032
179,4.545543013090788e-05,0.004288549669563674,0.07524295453803997,0.006742064233668164
180,3.840477626647967e-05,0.004024080569272892,0.050456955655298064,0.006197158725293329
181,7.634747420414251e-05,0.005299012819288717,0.05986968574732818,0.008737704172386567
182,7.168180201315133e-05,0.005618827321245559,0.06372792952849643,0.008466510616136434
183,4.593674944581735e-05,0.0048058318828128775,0.052177117762316705,0.006777665486420604
184,3.569677317752051e-05,0.003408241202667162,0.059957894255934646,0.006898963514182914
185,4.67615417076871e-05,0.003887213793271885,0.06889778954725889,0.006838241126758158
186,7.829205399240076e-05,0.005384019665571421,0.07026215663760871,0.008848279719380488
187,7.692774806050116e-05,0.005064979988193219,0.06867952256612364,0.008770846484832619
188,7.233773536040084e-05,0.004955738889874469,0.05932308349042803,0.008505159337743186
189,7.192618195906004e-05,0.00587102348016145,0.04757710348633326,0.008480930488988792
190,6.341747477359225e-05,0.004757459795357867,0.06140497919770094,0.007963508948547231
191,4.807058383660425e-05,0.0048323529635077855,0.04508852924423756,0.006933295308625174
192,7.656306790242863e-05,0.005440839768102252,0.0644582039213919,0.00875003245150714
193,6.035203837318729e-05,0.004579483187477763,0.05787815742702218,0.007768657436982704
194,5.6949943696319595e-05,0.004479085539128659,0.06705354798578078,0.007546518647450564
195,5.825632500059069e-05,0.004637510010059422,0.057379761576780264,0.007632583114554993
196,5.294500031753099e-05,0.004339411770973811,0.06802975895516594,0.0072763315150926626
197,6.0889667961073876e-05,0.0046602578938903134,0.06149349482914718,0.007803183194124904
198,5.233968304831436e-05,0.004224015273848056,0.06031745296381219,0.007234616993892218
200,6.919421342322407e-05,0.005367231961612893,0.053748930056554886,0.008318305922675824
201,4.3953580443217116e-05,0.0043097291504253805,0.05232807487068647,0.006629749651624642
202,6.892433572264709e-05,0.004791650165888845,0.05917079854546342,0.00830206815935925
203,9.007514725178604e-05,0.005074735577625328,0.06137083803555843,0.00949079276202917
204,4.504711035597633e-05,0.00416539660805088,0.06519553904537378,0.006711714412575675
205,6.58161635278845e-05,0.004819002657833724,0.0603897693190909,0.008112716162166897
206,3.092293451834265e-05,0.0038969437281880467,0.046191021801525345,0.005560839371744374
207,5.4964223551505e-05,0.004699583235405273,0.054179390608226796,0.007413786047054802
208,7.678753298096589e-05,0.005257234316845411,0.04671955906525427,0.008762849592510703
209,4.822919734336675e-05,0.0036625389658945327,0.05880456585705085,0.006944724425300585
